['LSM: bloom filter false positives', '0', 0]
['LSM: bloom filter hits', '0', 0]
['LSM: bloom filter misses', '0', 0]
['LSM: bloom filter pages evicted from cache', '0', 0]
['LSM: bloom filter pages read into cache', '0', 0]
['LSM: bloom filters in the LSM tree', '0', 0]
['LSM: chunks in the LSM tree', '0', 0]
['LSM: highest merge generation in the LSM tree', '0', 0]
['LSM: queries that could have benefited from a Bloom filter that did not exist', '0', 0]
['LSM: total size of bloom filters', '0', 0]
['block-manager: allocations requiring file extension', '0', 0]
['block-manager: blocks allocated', '3', 3]
['block-manager: blocks freed', '0', 0]
['block-manager: checkpoint size', '4096', 4096]
['block-manager: file allocation unit size', '4096', 4096]
['block-manager: file bytes available for reuse', '16384', 16384]
['block-manager: file magic number', '120897', 120897]
['block-manager: file major version number', '1', 1]
['block-manager: file size in bytes', '36864', 36864]
['block-manager: minor version number', '0', 0]
['btree: btree checkpoint generation', '2', 2]
['btree: btree clean tree checkpoint expiration time', '0', 0]
['btree: column-store fixed-size leaf pages', '0', 0]
['btree: column-store internal pages', '0', 0]
['btree: column-store variable-size RLE encoded values', '0', 0]
['btree: column-store variable-size deleted values', '0', 0]
['btree: column-store variable-size leaf pages', '0', 0]
['btree: fixed-record size', '0', 0]
['btree: maximum internal page key size', '368', 368]
['btree: maximum internal page size', '4096', 4096]
['btree: maximum leaf page key size', '2867', 2867]
['btree: maximum leaf page size', '32768', 32768]
['btree: maximum leaf page value size', '67M (67108864)', 67108864]
['btree: maximum tree depth', '0', 0]
['btree: number of key/value pairs', '4', 4]
['btree: overflow pages', '0', 0]
['btree: pages rewritten by compaction', '0', 0]
['btree: row-store empty values', '0', 0]
['btree: row-store internal pages', '1', 1]
['btree: row-store leaf pages', '1', 1]
['cache: data source pages selected for eviction unable to be evicted', '0', 0]
['cache: eviction walk passes of a file', '0', 0]
['cache_walk: Average difference between current eviction generation when the page was last considered', '0', 0]
['cache_walk: Average on-disk page image size seen', '96', 96]
['cache_walk: Average time in cache for pages that have been visited by the eviction server', '0', 0]
['cache_walk: Average time in cache for pages that have not been visited by the eviction server', '13', 13]
['cache_walk: Clean pages currently in cache', '2', 2]
['cache_walk: Current eviction generation', '33', 33]
['cache_walk: Dirty pages currently in cache', '0', 0]
['cache_walk: Entries in the root page', '1', 1]
['cache_walk: Internal pages currently in cache', '1', 1]
['cache_walk: Leaf pages currently in cache', '1', 1]
['cache_walk: Maximum difference between current eviction generation when the page was last considered', '0', 0]
['cache_walk: Maximum page size seen', '500', 500]
['cache_walk: Minimum on-disk page image size seen', '52', 52]
['cache_walk: Number of pages never visited by eviction server', '1', 1]
['cache_walk: On-disk page image sizes smaller than a single allocation unit', '2', 2]
['cache_walk: Pages created in memory and never written', '0', 0]
['cache_walk: Pages currently queued for eviction', '0', 0]
['cache_walk: Pages that could not be queued for eviction', '0', 0]
['cache_walk: Refs skipped during cache traversal', '0', 0]
['cache_walk: Size of the root page', '500', 500]
['cache_walk: Total number of pages currently in cache', '0', 0]
['compression: compressed page maximum internal page size prior to compression', '4096', 4096]
